id_produto,custo_unitario,fornecedor
P0001,128.87,Natura
P0002,88.29,Natura
P0003,166.86,O Boticário
P0004,99.13,O Boticário
P0005,153.77,O Boticário
P0006,122.72,O Boticário
P0007,133.01,Eudora
P0008,147.64,Eudora
P0009,35.12,Natura
P0010,25.36,Natura
P0011,87.04,L'Occitane en Provence
P0012,49.64,O Boticário
P0013,64.7,O Boticário
P0014,22.11,Eudora
P0015,91.72,O Boticário
P0016,60.0,Natura
P0017,69.8,L'Occitane au Brésil
P0018,19.16,Natura
P0019,195.96,O Boticário
P0020,26.68,O Boticário
P0021,76.84,Natura
P0022,54.49,O Boticário
P0023,110.7,Natura
P0024,117.97,Eudora
P0025,63.95,Natura
P0026,37.59,L'Occitane au Brésil
P0027,109.0,O Boticário
P0028,139.18,L'Occitane en Provence
P0029,15.54,O Boticário
P0030,116.77,Eudora
P0031,132.14,Natura
P0032,62.66,Natura
P0033,31.77,Natura
P0034,27.06,Eudora
P0035,20.85,Eudora
P0036,21.15,Natura
P0037,155.82,Natura Chronos
P0038,91.02,O Boticário
P0039,45.56,Eudora
P0040,102.63,L'Occitane au Brésil
P0041,45.92,Natura
P0042,63.4,L'Occitane en Provence
P0043,68.24,O Boticário
P0044,112.2,BEYOUNG
P0045,12.68,O Boticário
P0046,36.48,Natura
P0047,84.51,Eudora
P0048,55.25,Natura Chronos
P0049,20.8,Eudora
P0050,21.38,Eudora
P0051,107.44,O Boticário
P0052,117.01,Natura
P0053,59.95,Natura Chronos
P0054,19.64,BEYOUNG
P0055,31.41,L'Occitane au Brésil
P0056,10.93,Natura
P0057,48.18,O Boticário
P0058,44.8,O Boticário
P0059,55.59,O Boticário
P0060,158.29,Natura
P0061,38.47,Natura Fotoequilíbrio
P0062,63.82,O Boticário
P0063,70.43,Natura
P0064,41.7,O Boticário
P0065,46.42,O Boticário
P0066,161.17,Eudora
P0067,147.03,L'Occitane au Brésil
P0068,82.7,L'Occitane en Provence
P0069,13.78,Bayer
P0070,11.6,L'Oréal Paris
P0071,66.48,La Roche-Posay
P0072,77.76,La Roche-Posay
P0073,126.26,Vichy
P0074,86.16,Galderma
P0075,26.87,Genomma Lab
P0076,24.92,Bio-Oil
P0077,19.74,Neutrogena
P0078,12.25,Natura Chronos
P0079,124.9,Natura
P0080,7.9,Paixão
