id_venda,data_venda,id_cliente,id_produto,quantidade,forma_pagamento
V00001,2025-08-09,C0003,P0075,5,Pix
V00002,2025-08-30,C0016,P0070,3,Boleto
V00003,2025-04-21,C0079,P0062,1,Cartão de crédito
V00004,2025-05-29,C0181,P0041,4,Pix
V00005,2025-10-16,C0076,P0057,1,Pix
V00006,2025-08-15,C0057,P0057,5,Cartão de crédito
V00007,2025-06-06,C0117,P0074,4,Boleto
V00008,2025-01-18,C0107,P0068,5,Boleto
V00009,2025-04-27,C0194,P0067,5,Boleto
V00010,2025-09-11,C0175,P0076,2,Boleto
V00011,2025-06-22,C0115,P0065,1,Boleto
V00012,2025-03-21,C0145,P0071,3,Cartão de crédito
V00013,2025-07-14,C0130,P0053,1,Cartão de crédito
V00014,2025-07-03,C0039,P0052,5,Cartão de crédito
V00015,2025-06-16,C0114,P0044,3,Cartão de crédito
V00016,2025-08-20,C0126,P0047,2,Cartão de crédito
V00017,2025-04-01,C0208,P0058,5,Cartão de crédito
V00018,2025-05-16,C0132,P0016,4,Pix
V00019,2025-07-31,C0015,P0061,4,Boleto
V00020,2025-11-19,C0207,P0017,4,Pix
V00021,2025-02-10,C0066,P0065,1,Cartão de crédito
V00022,2025-08-15,C0019,P0058,2,Cartão de crédito
V00023,2025-12-19,C0180,P0024,4,Cartão de crédito
V00024,2025-03-03,C0018,P0022,5,Pix
V00025,2025-10-21,C0105,P0014,1,Cartão de crédito
V00026,2025-10-18,C0187,P0047,2,Boleto
V00027,2025-01-19,C0098,P0026,4,Pix
V00028,2025-01-20,C0021,P0076,4,Boleto
V00029,2025-05-17,C0168,P0064,5,Pix
V00030,2025-07-02,C0138,P0043,1,Pix
V00031,2025-05-11,C0187,P0053,5,Cartão de crédito
V00032,2025-01-24,C0077,P0062,1,Pix
V00033,2025-03-10,C0137,P0020,5,Pix
V00034,2025-09-11,C0118,P0021,2,Pix
V00035,2025-10-10,C0049,P0055,2,Boleto
V00036,2025-02-02,C0208,P0048,1,Boleto
V00037,2025-09-21,C0197,P004,4,Cartão de crédito
V00038,2025-07-31,C0018,P0057,2,Cartão de crédito
V00039,2025-02-04,C0115,P0074,5,Boleto
V00040,2025-09-08,C0190,P0035,1,Cartão de crédito
V00041,2025-03-25,C0060,P0041,4,Boleto
V00042,2025-02-27,C0036,P0013,2,Boleto
V00043,2025-08-28,C0209,P0072,3,Boleto
V00044,2025-11-23,C0148,P0050,5,Boleto
V00045,2025-08-31,C0078,P0055,3,Cartão de crédito
V00046,2025-08-15,C0106,P0047,5,Pix
V00047,2025-03-04,C0143,P0013,3,Boleto
V00048,2025-10-03,C0174,P0039,2,Pix
V00049,2025-05-22,C0013,P0048,5,Pix
V00050,2025-06-21,C0082,P0025,4,Boleto
V00051,2025-02-23,C0039,P0064,4,Pix
V00052,2025-07-08,C0194,P0060,4,Boleto
V00053,2025-09-04,C0218,P0012,4,Cartão de crédito
V00054,2025-05-28,C0207,P0028,3,Pix
V00055,2025-07-29,C0106,P0056,1,Pix
V00056,2025-06-26,C0035,P0045,5,Pix
V00057,2025-09-19,C0053,P0064,2,Pix
V00058,2025-04-05,C0217,P0058,1,Pix
V00059,2025-07-02,C0186,P0052,1,Cartão de crédito
V00060,2025-10-02,C0097,P0043,1,Boleto
V00061,2025-09-09,C0011,P0071,5,Cartão de crédito
V00062,2025-08-24,C0186,P0059,2,Boleto
V00063,2025-08-11,C0123,P0079,5,Cartão de crédito
V00064,2025-11-07,C0004,P0058,3,Cartão de crédito
V00065,2025-05-01,C0192,P004,2,Pix
V00066,2025-09-10,C0181,P0051,2,Cartão de crédito
V00067,2025-09-03,C0142,P0045,4,Pix
V00068,2025-01-25,C0120,P0063,3,Boleto
V00069,2025-11-12,C0067,P0065,3,Pix
